,x,y,Time
217,485,417,1593689858.635784
218,485,418,1593689858.636467
219,486,420,1593689858.637998
220,486,420,1593689858.638677
221,486,420,1593689858.639332
222,486,421,1593689858.641102
223,486,421,1593689858.641768
224,487,423,1593689858.6424499
225,488,424,1593689858.6439989
226,488,424,1593689858.644682
227,488,424,1593689858.645333
228,488,425,1593689858.647121
229,489,428,1593689858.6477902
230,489,428,1593689858.648471
231,489,429,1593689858.65001
232,489,429,1593689858.650698
233,489,429,1593689858.6513522
234,490,430,1593689858.653135
235,490,431,1593689858.6538181
236,490,431,1593689858.654495
237,491,432,1593689858.655997
238,491,432,1593689858.656675
239,491,432,1593689858.657332
240,491,433,1593689858.659116
241,492,435,1593689858.659822
242,492,435,1593689858.660527
243,492,435,1593689858.6613052
244,492,436,1593689858.663203
245,493,437,1593689858.664094
246,493,437,1593689858.664907
247,493,437,1593689858.665592
248,493,438,1593689858.6666088
249,493,438,1593689858.667428
250,494,439,1593689858.6692212
251,494,440,1593689858.669954
252,494,440,1593689858.670742
253,494,440,1593689858.671403
254,495,441,1593689858.673184
255,495,442,1593689858.673954
256,495,442,1593689858.674805
257,495,442,1593689858.6755042
258,496,444,1593689858.676319
259,496,445,1593689858.6780689
260,496,445,1593689858.678744
261,496,445,1593689858.679408
262,497,445,1593689858.681194
263,497,446,1593689858.6818821
264,497,446,1593689858.682576
265,497,446,1593689858.683316
266,498,448,1593689858.685222
267,499,449,1593689858.68589
268,499,449,1593689858.686581
269,499,449,1593689858.6873448
270,499,450,1593689858.6892312
271,500,452,1593689858.689986
272,500,452,1593689858.690777
273,500,452,1593689858.691454
274,501,453,1593689858.693235
275,502,455,1593689858.694008
276,502,455,1593689858.694798
277,502,455,1593689858.695473
278,502,456,1593689858.697271
279,503,457,1593689858.6991801
280,504,459,1593689858.6999612
281,504,459,1593689858.7007391
282,504,459,1593689858.701403
283,505,461,1593689858.703192
284,505,462,1593689858.7039711
285,505,462,1593689858.7047338
286,505,462,1593689858.705397
287,506,464,1593689858.707184
288,507,466,1593689858.707872
289,507,466,1593689858.708545
290,507,466,1593689858.7093499
291,508,467,1593689858.7112682
292,509,470,1593689858.712255
293,509,470,1593689858.7130702
294,509,470,1593689858.7137501
295,510,472,1593689858.714734
296,510,472,1593689858.7155578
297,511,474,1593689858.716375
298,512,476,1593689858.718061
299,512,476,1593689858.71881
300,512,476,1593689858.719473
301,512,478,1593689858.720316
302,514,481,1593689858.722094
303,514,481,1593689858.722836
304,514,481,1593689858.7234979
305,514,483,1593689858.7243369
306,515,486,1593689858.7260401
307,515,486,1593689858.726717
308,515,486,1593689858.727372
309,516,487,1593689858.7291598
310,517,490,1593689858.729837
311,517,490,1593689858.730512
312,519,493,1593689858.732028
313,519,493,1593689858.7327008
314,519,493,1593689858.733354
315,519,496,1593689858.7351491
316,520,498,1593689858.735981
317,520,498,1593689858.7367492
318,520,498,1593689858.7374332
319,521,501,1593689858.7384052
320,522,504,1593689858.7400372
321,522,504,1593689858.740732
322,522,504,1593689858.741384
323,524,507,1593689858.7431622
324,525,510,1593689858.7438679
325,525,510,1593689858.74455
326,525,510,1593689858.745327
327,526,513,1593689858.7472289
328,527,516,1593689858.747991
329,527,516,1593689858.7488441
330,527,516,1593689858.749523
331,528,520,1593689858.7503412
332,529,523,1593689858.752015
333,529,523,1593689858.752689
334,529,523,1593689858.753361
335,530,525,1593689858.755233
336,531,529,1593689858.756375
337,532,532,1593689858.758044
338,532,532,1593689858.75882
339,532,532,1593689858.759485
340,534,536,1593689858.7614012
341,534,540,1593689858.763256
342,536,543,1593689858.7640371
343,536,543,1593689858.764817
344,536,543,1593689858.765475
345,537,547,1593689858.767261
346,538,550,1593689858.767974
347,538,550,1593689858.7687309
348,539,554,1593689858.770027
349,539,554,1593689858.770696
350,540,557,1593689858.772022
351,540,557,1593689858.772691
352,541,560,1593689858.7740328
353,541,560,1593689858.774714
354,542,564,1593689858.776036
355,542,564,1593689858.776706
356,543,567,1593689858.778027
357,543,567,1593689858.778692
358,543,571,1593689858.780041
359,543,571,1593689858.780714
360,544,574,1593689858.782037
361,544,574,1593689858.782722
362,545,577,1593689858.784066
363,545,577,1593689858.784739
364,546,581,1593689858.786044
365,546,581,1593689858.786717
366,546,585,1593689858.788058
367,546,585,1593689858.7887402
368,547,587,1593689858.790059
369,547,587,1593689858.790735
370,548,591,1593689858.792049
371,548,591,1593689858.792732
372,549,594,1593689858.79406
373,549,594,1593689858.79474
374,549,597,1593689858.796059
375,549,597,1593689858.796742
376,550,601,1593689858.798058
377,550,601,1593689858.7987258
378,550,603,1593689858.8000371
379,550,603,1593689858.800716
380,551,607,1593689858.802037
381,551,607,1593689858.802717
382,552,610,1593689858.804037
383,552,610,1593689858.804708
384,553,613,1593689858.806037
385,553,613,1593689858.806704
386,553,616,1593689858.808049
387,553,616,1593689858.808722
388,554,620,1593689858.810035
389,554,620,1593689858.810723
390,554,623,1593689858.812056
391,554,623,1593689858.812746
392,555,626,1593689858.814059
393,555,626,1593689858.814732
394,555,629,1593689858.8160481
395,555,629,1593689858.816728
396,557,632,1593689858.81808
397,557,632,1593689858.818789
398,557,632,1593689858.8194509
399,557,635,1593689858.8212411
400,558,638,1593689858.822017
401,558,638,1593689858.8228118
402,558,638,1593689858.823476
403,559,641,1593689858.82527
404,559,644,1593689858.826029
405,559,644,1593689858.826816
406,559,644,1593689858.827498
407,560,647,1593689858.82928
408,561,650,1593689858.830036
409,561,650,1593689858.830802
410,561,650,1593689858.831483
411,562,653,1593689858.833257
412,563,656,1593689858.833981
413,563,656,1593689858.834751
414,563,658,1593689858.8360279
415,563,658,1593689858.8366988
416,564,661,1593689858.83803
417,564,661,1593689858.8387132
418,565,665,1593689858.84004
419,565,665,1593689858.8407092
420,565,666,1593689858.842031
421,565,666,1593689858.842705
422,566,669,1593689858.844037
423,566,669,1593689858.8447092
424,566,671,1593689858.846035
425,566,671,1593689858.84671
426,567,674,1593689858.8480241
427,567,674,1593689858.848707
428,568,676,1593689858.85004
429,568,676,1593689858.850718
430,568,678,1593689858.852051
431,568,678,1593689858.8527281
432,569,680,1593689858.854051
433,569,680,1593689858.854729
434,569,682,1593689858.856054
435,569,682,1593689858.856736
436,570,685,1593689858.858038
437,570,685,1593689858.858708
438,570,686,1593689858.860058
439,570,686,1593689858.860731
440,571,687,1593689858.86206
441,571,687,1593689858.8627489
442,571,689,1593689858.8640692
443,571,689,1593689858.864744
444,571,691,1593689858.866068
445,571,691,1593689858.866743
446,571,693,1593689858.8680582
447,571,693,1593689858.86875
448,571,694,1593689858.870059
449,571,694,1593689858.87075
450,571,695,1593689858.8720598
451,571,695,1593689858.872757
452,572,696,1593689858.874078
453,572,696,1593689858.8747761
454,572,696,1593689858.875436
455,572,697,1593689858.877225
456,572,698,1593689858.877983
457,572,698,1593689858.878764
458,572,698,1593689858.879436
459,572,699,1593689858.881213
460,572,700,1593689858.881954
461,572,700,1593689858.8827221
462,572,701,1593689858.884048
463,572,701,1593689858.884733
464,572,702,1593689858.886077
465,572,702,1593689858.886752
466,572,703,1593689858.888084
467,572,703,1593689858.888768
468,572,703,1593689858.889429
469,572,703,1593689858.8912482
470,572,704,1593689858.891999
471,572,704,1593689858.892786
472,572,704,1593689858.893478
473,572,705,1593689858.8952699
474,572,706,1593689858.895982
475,572,706,1593689858.896736
476,572,706,1593689858.897428
477,572,707,1593689858.899223
478,571,708,1593689858.899957
479,571,708,1593689858.9007301
480,571,708,1593689858.902055
481,571,708,1593689858.902739
482,571,709,1593689858.904029
483,571,709,1593689858.904713
484,571,710,1593689858.906059
485,571,710,1593689858.906741
486,571,711,1593689858.908042
487,571,711,1593689858.9087281
488,571,711,1593689858.910041
